timestamp,time_seconds,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
2026-02-12 18:13:56.735,128.600,0.317627,0.505127,-0.782715,1.511,-2.542,0.198,31.66
2026-02-12 18:13:56.835,128.700,0.323242,0.504883,-0.780029,1.740,-2.771,0.427,31.46
2026-02-12 18:13:56.935,128.800,0.322754,0.510010,-0.775146,1.618,-2.756,0.092,31.56
2026-02-12 18:13:57.035,128.900,0.324707,0.509277,-0.777588,1.634,-2.817,0.718,31.17
2026-02-12 18:13:57.135,129.000,0.322510,0.504883,-0.779785,1.954,-2.771,0.595,31.46
2026-02-12 18:13:57.235,129.100,0.323975,0.510010,-0.781494,1.473,-2.870,0.359,31.46
2026-02-12 18:13:57.335,129.200,0.323242,0.507324,-0.781738,1.656,-2.939,0.282,31.66
2026-02-12 18:13:57.435,129.300,0.324951,0.505859,-0.775391,1.687,-3.023,0.229,31.46
2026-02-12 18:13:57.535,129.400,0.320312,0.505127,-0.780518,1.748,-2.687,0.092,31.36
2026-02-12 18:13:57.635,129.500,0.323975,0.507568,-0.779541,1.664,-2.947,-0.038,31.71
2026-02-12 18:13:57.735,129.600,0.320801,0.506348,-0.776611,1.779,-2.718,0.473,31.66
2026-02-12 18:13:57.835,129.700,0.321045,0.505615,-0.781982,1.595,-3.092,0.229,31.71
2026-02-12 18:13:57.935,129.800,0.318848,0.509033,-0.781250,1.664,-2.863,0.145,31.17
2026-02-12 18:13:58.035,129.900,0.321289,0.507324,-0.772949,1.908,-2.817,0.046,31.36
2026-02-12 18:13:58.135,130.000,0.321533,0.505127,-0.786865,1.924,-2.969,0.275,31.36
2026-02-12 18:13:58.235,130.100,0.319336,0.506836,-0.780273,1.664,-2.817,0.244,31.56
2026-02-12 18:13:58.335,130.200,0.317383,0.508301,-0.784912,1.824,-2.779,0.382,31.66
2026-02-12 18:13:58.435,130.300,0.320068,0.508301,-0.781006,1.656,-2.832,0.336,31.66
2026-02-12 18:13:58.535,130.400,0.317627,0.509766,-0.778564,1.756,-2.969,0.389,31.36
2026-02-12 18:13:58.635,130.500,0.322998,0.509521,-0.781982,1.779,-2.954,0.496,31.66
2026-02-12 18:13:58.735,130.600,0.320557,0.509277,-0.779053,1.771,-2.847,0.145,31.66
